                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2774,                 2.2498,                 1.3618,                 1.4795,                0.55246,                0.63307,                0.61119,                0.38734,                0.48369,                0.55796,                0.50326,                0.23562,                 1.2355,                 2.0515,                 1.5128,                  1.453,             0.00066216,             0.00066216,             0.00066216
                     25,                 1.2644,                 2.3812,                 1.3863,                 1.4989,                0.52228,                0.64513,                0.59945,                0.37001,                0.49359,                0.55186,                0.50737,                0.22973,                 1.2915,                 2.0622,                 1.4017,                 1.4968,             0.00065981,             0.00065981,             0.00065981
                     26,                 1.2729,                 2.1465,                 1.3744,                 1.4923,                 0.6287,                0.64302,                0.64723,                0.40471,                0.55788,                0.56601,                0.52921,                0.25437,                 1.2449,                 2.0082,                 1.3879,                 1.4728,             0.00065745,             0.00065745,             0.00065745
                     27,                 1.1832,                 2.0629,                 1.2758,                 1.4355,                 0.6845,                0.64862,                0.68606,                0.44013,                0.59088,                0.57548,                0.56712,                0.27381,                 1.2153,                 1.8883,                 1.2994,                 1.4365,             0.00065509,             0.00065509,             0.00065509
                     28,                 1.2256,                  2.116,                  1.284,                 1.4501,                0.65712,                0.61617,                0.67708,                0.42692,                0.59546,                0.58196,                0.57507,                0.27759,                 1.2209,                  1.843,                 1.3239,                 1.4292,             0.00065274,             0.00065274,             0.00065274
                     29,                  1.197,                 2.0429,                 1.2444,                 1.4336,                 0.6577,                 0.6697,                0.71842,                0.47878,                0.63268,                 0.5973,                0.63233,                0.32266,                  1.141,                  1.771,                 1.2342,                 1.3825,             0.00065038,             0.00065038,             0.00065038
                     30,                 1.2384,                  2.072,                 1.2979,                 1.4696,                0.64408,                0.66402,                0.71202,                0.43633,                0.61926,                0.56048,                0.60407,                0.29543,                 1.1632,                 1.8245,                 1.2694,                 1.3937,             0.00064803,             0.00064803,             0.00064803
                     31,                  1.178,                 2.0624,                 1.2319,                 1.4224,                0.63373,                0.62281,                0.70921,                0.45738,                0.59474,                0.56748,                0.57979,                0.29399,                 1.1169,                 1.8504,                 1.2678,                 1.3576,             0.00064567,             0.00064567,             0.00064567
                     32,                 1.1756,                 2.0045,                  1.194,                 1.4039,                0.69979,                0.65942,                 0.7185,                0.45643,                0.62986,                0.58321,                0.60413,                0.30101,                 1.1586,                  1.778,                 1.1647,                 1.3813,             0.00064331,             0.00064331,             0.00064331
                     33,                 1.2169,                 1.9749,                 1.1965,                 1.4509,                0.65303,                0.62441,                0.68067,                0.43805,                 0.5744,                0.56927,                0.56001,                 0.2671,                 1.1193,                 1.8507,                 1.1644,                 1.3546,             0.00064096,             0.00064096,             0.00064096
                     34,                 1.1635,                 1.9388,                 1.1435,                 1.3856,                0.75435,                0.64598,                0.74753,                0.49803,                0.65618,                0.56963,                0.58648,                0.27927,                 1.1163,                 1.8595,                 1.0833,                 1.3564,              0.0006386,              0.0006386,              0.0006386
                     35,                 1.1456,                 1.9148,                 1.1283,                 1.4049,                0.64531,                0.71201,                0.73204,                0.52254,                0.55487,                 0.6337,                0.59791,                0.30686,                 1.0998,                 1.7256,                 1.0716,                 1.3405,             0.00063625,             0.00063625,             0.00063625
                     36,                 1.1792,                 1.9206,                 1.1244,                 1.3904,                0.67692,                0.67263,                 0.7091,                0.46849,                0.55771,                0.57243,                0.54778,                0.26533,                 1.1613,                 1.8424,                 1.2283,                 1.4057,             0.00063389,             0.00063389,             0.00063389
